feature_id,feature_version,target_time,available_by_target_time,shoreline_cell,requested_offshore_offset_km,grid_lat,grid_lon,value,units,missingness_reason,source_observation_ids,transform_code_hash,source_class,production_weight,source_hash,max_sample_gap_hours,quality
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,0.25,30.6,-87.91999999999999,-3.08536958694458,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,0.25,30.6,-87.91999999999999,-1.783172607421875,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,0.25,30.6,-87.91999999999999,0.028951542917639024,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,0.75,30.6,-87.92999999999999,-2.9567432403564453,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,0.75,30.6,-87.92999999999999,-1.7587890625,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,0.75,30.6,-87.92999999999999,-0.023427338805049654,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,1.5,30.59,-87.92999999999999,-4.041102409362793,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,1.5,30.59,-87.92999999999999,-1.7928009033203125,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,1.5,30.59,-87.92999999999999,0.01938796770991758,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,3.0,30.6,-87.94,-2.712116241455078,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,3.0,30.6,-87.94,-1.6428413391113281,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Daphne/May Day,3.0,30.6,-87.94,0.008502307347953323,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Montrose,0.25,30.57,-87.91,-1.1464815139770508,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Montrose,0.25,30.57,-87.91,-1.1684417724609375,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Montrose,0.25,30.57,-87.91,-0.011761261150240895,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Montrose,0.75,30.560000000000002,-87.91,-2.248708724975586,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
